ID,AR,Dec
0004-476,00:04:35.640,-47:36:19.73
0005+383,00:05:57.1754,+38:20:15.148
0006-063,00:06:13.8928,-06:23:35.335
0006+243,00:06:48.7893,+24:22:36.392
0010+109,00:10:31.0058,+10:58:29.504
0013+408,00:13:31.1302,+40:51:37.144
0014+612,00:14:48.8154,+61:17:43.852
0019+203,00:19:37.8545,+20:21:45.644
0019+260,00:19:39.7805,+26:02:52.278
0019+734,00:19:45.7864,+73:27:30.017
0022+002,00:22:25.4259,+00:14:56.161
0034+279,00:34:43.4861,+27:54:25.721
0050-094,00:50:41.3173,-09:29:05.210
0051-068,00:51:08.2097,-06:50:02.228
0057+303,00:57:48.8833,+30:21:08.812
0102+584,01:02:45.7623,+58:24:11.136
0106-405,01:06:45.1079,-40:34:19.960
0108+015,01:08:38.7710,+01:35:00.317
0112+227,01:12:05.8247,+22:44:38.786
0113+498,01:13:27.0068,+49:48:24.043
0115-014,01:15:17.0999,-01:27:04.577
0116-116,01:16:12.5219,-11:36:15.434
0118-216,01:18:57.2621,-21:41:30.139
0120-270,01:20:31.6633,-27:01:24.652
0121+118,01:21:41.5950,+11:49:50.413
0121+043,01:21:56.8616,+04:22:24.734
0122+250,01:22:38.8159,+25:02:31.793
0132-169,01:32:43.4874,-16:54:48.521
0136+478,01:36:58.5948,+47:51:29.100
0137-245,01:37:38.3463,-24:30:53.885
0141-094,01:41:25.8320,-09:28:43.673
0149+059,01:49:22.3708,+05:55:53.568
0149+189,01:49:49.7189,+18:57:20.610
0152+221,01:52:18.0590,+22:07:07.700
0204+152,02:04:50.4139,+15:14:11.043
0204-170,02:04:57.6743,-17:01:19.840
0205+322,02:05:04.9253,+32:12:30.095
0210-510,02:10:46.2051,-51:01:01.874
0217+738,02:17:30.8133,+73:49:32.621
0217+017,02:17:48.9547,+01:44:49.699
0219+013,02:19:07.0244,+01:20:59.865
0222-346,03:22:56.4016,-34:41:28.730
0224+069,03:24:28.4281,+06:59:23.341
0228+673,02:28:50.0514,+67:21:03.029
0237+288,02:37:52.4056,+28:48:08.990
0238+166,02:38:38.9301,+16:36:59.274
0239+042,02:39:51.2630,+04:16:21.411
0241-082,02:41:04.7985,-08:15:20.751
0242+110,02:42:29.1708,+11:01:00.728
0242-215,02:42:35.9098,-21:32:25.935
0244+624,02:44:57.6968,+62:28:06.514
0251+432,02:51:34.5367,+43:15:15.828
0259+425,02:59:37.6943,+42:35:49.802
0303+472,03:03:35.2422,+47:16:16.275
0309+104,03:09:03.6235,+10:29:16.340
0310+382,03:10:49.8799,+38:14:53.837
0313+413,03:13:01.9621,+41:20:01.183
0319+415,03:19:48.1601,+41:30:42.103
0325+469,03:25:20.3038,+46:55:06.635
0325+226,03:25:36.8143,+22:24:00.365
0329-239,03:29:54.0755,-23:57:08.773
0334-401,03:34:13.6544,-40:08:25.397
0336+323,03:36:30.1075,+32:18:29.342
0339-017,03:39:30.9377,-01:46:35.803
0340-213,03:40:35.6078,-21:19:31.172
0346+540,03:46:34.5041,+54:00:59.100
0348-278,03:48:38.1445,-27:49:13.565
0354+467,03:54:30.0116,+46:43:18.750
0359+509,03:59:29.7472,+50:57:50.161
0359+323,03:59:44.9129,+32:20:47.155
0401+042,04:01:19.9128,+04:13:34.408
0403-360,04:03:53.7499,-36:05:01.913
0405-131,04:05:34.0034,-13:08:13.691
0406-384,04:06:59.0353,-38:26:28.042
0410+769,04:10:45.6057,+76:56:45.301
0415+448,04:15:56.5265,+44:52:49.683
0416-209,04:16:04.3597,-20:56:27.517
0418+380,04:18:21.2770,+38:01:35.800
0422+023,04:22:52.2146,+02:19:26.931
0423-013,04:23:15.8007,-01:20:33.065
